EventID,Data,Event,PlayerID,Time
0bQFrHObSJrQBOb8xqPSaw,"{""message"":{""endSource"":""WIN"",""level"":""level_2"",""team"":""Bob,Marto,Cloud,Fya,""}}",END_GAME,0bcdb69da2a4dfe7bb5dbb5678e47f35,Tue Jan 07 2020 20:31:02 GMT+0000 (Coordinated Universal Time)
FMojjST-bb4C3YzQ4PeYIQ,"{""Attempt"":1,""Level"":""intro_2"",""Formation"":""Bob,Marto,Cloud,Fya,""}",START_GAME,BBD84E3D-DD15-4CFB-BCC0-E4724F3A8689,Sun Jan 26 2020 22:12:16 GMT+0000 (Coordinated Universal Time)
5MXt8iOFQsPfR3lCjHjhZw,"{""Level"":""level_6"",""Formation"":""Doori,Fya,Sir Atcha,Roxi, Yan Yan, and Gio,""}",SELECT_LEVEL,41BCB9B5-E120-4263-AFCC-0EE41ED11EDD,Sat Feb 01 2020 00:19:01 GMT+0000 (Coordinated Universal Time)
hqfCHYnPFzIg6u5QfYTMOQ,"{""message"":{""endSource"":""LOSE"",""level"":""level_16"",""team"":""Puka,Marto,Bob,Cloud,""}}",END_GAME,212675EB-EAD6-40F7-8170-BD15C5440FB4,Tue Jan 28 2020 06:52:38 GMT+0000 (Coordinated Universal Time)
MB37V1ZiPxoZAo_idWEORg,"{""Level"":""level_6"",""Formation"":""Doori,Sir Atcha,Bob,Fya,""}",EDIT_TEAM,0b5169d19638999753e3d00fc6fa7ef9,Tue Jan 07 2020 19:45:20 GMT+0000 (Coordinated Universal Time)
9S4sYuwwAJJPwBb_4cCBhw,"{""Attempt"":2,""Level"":""level_3"",""Formation"":""Bob,Marto,Cloud,Fya,"",""Source"":""PAUSE_MENU""}",RETRY_GAME,A14A0192-A50F-4B2B-BD30-05A173C1675C,Sat Jan 18 2020 02:56:56 GMT+0000 (Coordinated Universal Time)
o-JuwAzRyME9PjJGYzyDIQ,"{""Attempt"":1,""Level"":""level_14"",""Formation"":""Bob,Marto,Cloud,Fya,""}",START_GAME,A14A0192-A50F-4B2B-BD30-05A173C1675C,Wed Jan 15 2020 17:59:39 GMT+0000 (Coordinated Universal Time)
sAa8vBlqDhe-pxZopcTx_g,"{""Attempt"":6,""Level"":""level_2"",""Formation"":""Bob,Marto,Cloud,Fya,"",""Source"":""GAME_OVER""}",RETRY_GAME,b8ab2e96fc5a30cdc73a0e429cd1a210,Thu Jan 16 2020 19:09:24 GMT+0000 (Coordinated Universal Time)
G5vZNLDntHaz1sx72b2t4g,"{""message"":{""endSource"":""WIN"",""level"":""level_1"",""team"":""Bob,Marto,Cloud,Fya,""}}",END_GAME,672c4c8760797b4edc0693d52938a035,Tue Jan 14 2020 22:12:23 GMT+0000 (Coordinated Universal Time)
5LLtLecDQ4WUpj-mNqWK2w,"{""Attempt"":9,""Level"":""level_8"",""Formation"":""Bob,Marto,Cloud,Fya,"",""Source"":""PAUSE_MENU""}",RETRY_GAME,1d5f756eeaad21046ddd9a3d605a47af,Wed Jan 08 2020 19:18:46 GMT+0000 (Coordinated Universal Time)
aQLFNKlF17Dutr8JSW1ueg,"{""IsNewPlayer"":false}",OPEN_APP,C3B9ADAC-F76C-4B7F-98A0-556BBA7FE4E9,Thu Jan 23 2020 02:55:06 GMT+0000 (Coordinated Universal Time)
SNwq_PXXVDvd1wvSo82FUw,"{""IsNewPlayer"":true}",OPEN_APP,A14A0192-A50F-4B2B-BD30-05A173C1675C,Tue Jan 07 2020 23:49:11 GMT+0000 (Coordinated Universal Time)
KEJFS8y9r4m1rV4P2PaZTw,"{""IsNewPlayer"":false}",OPEN_APP,664e46260b0f2b0d9e13c6708670fdc0,Sat Feb 01 2020 17:10:31 GMT+0000 (Coordinated Universal Time)
RltGQtmGOU3AAjWVJuLhaQ,"{""IsNewPlayer"":true}",OPEN_APP,2BC8F220-EC01-4E7B-9A83-7CDFE6944C8E,Wed Jan 29 2020 02:50:06 GMT+0000 (Coordinated Universal Time)
LZI9sTQsFmr2tpx2KVQeBQ,"{""Attempt"":7,""Level"":""level_3"",""Formation"":""Sir Atcha,Marto,Cloud,Bob,"",""Source"":""PAUSE_MENU""}",RETRY_GAME,BBD84E3D-DD15-4CFB-BCC0-E4724F3A8689,Sun Jan 26 2020 22:16:16 GMT+0000 (Coordinated Universal Time)
TxlBXeKrR2TCT-v5ahlm3w,"{""IsNewPlayer"":false}",OPEN_APP,1d5f756eeaad21046ddd9a3d605a47af,Wed Jan 08 2020 19:19:19 GMT+0000 (Coordinated Universal Time)
ndGjBbEFffRmq_P7pYSt7Q,"{""Attempt"":9,""Level"":""level_5"",""Formation"":""Bob,Fya,Cloud,Doori,"",""Source"":""GAME_OVER""}",RETRY_GAME,672c4c8760797b4edc0693d52938a035,Fri Jan 17 2020 02:58:56 GMT+0000 (Coordinated Universal Time)
1AHsj2EromlpxckY-cwJcA,"{""Level"":""intro_2"",""Formation"":""Bob,Marto,Cloud,Fya,""}",SELECT_LEVEL,ab34dbabd0addf026f27b914d9a023c8,Tue Jan 28 2020 22:40:37 GMT+0000 (Coordinated Universal Time)
e7uVoluk8OaGicvrnXl8TA,"{""message"":{""endSource"":""LOSE"",""level"":""level_10"",""team"":""Doori,Miko,Cloud,Roxi, Yan Yan, and Gio,""}}",END_GAME,b8ab2e96fc5a30cdc73a0e429cd1a210,Thu Jan 16 2020 19:52:38 GMT+0000 (Coordinated Universal Time)
Dclrow_gzFHTqIkWVoZg9w,"{""Attempt"":6,""Level"":""level_4"",""Formation"":""Sir Atcha,Marto,Cloud,Fya,""}",START_GAME,0bcdb69da2a4dfe7bb5dbb5678e47f35,Tue Jan 07 2020 20:32:56 GMT+0000 (Coordinated Universal Time)
vTYCwmERJMv--gVjGs7zzg,"{""Level"":""level_2"",""Formation"":""Fya,Puka,Bob,Sir Atcha,""}",SAVE_TEAM,45e70a6c1de82e89219c491af0ca215d,Sun Jan 19 2020 23:16:32 GMT+0000 (Coordinated Universal Time)
acAOke_naf2zut92ua_IpA,"{""message"":{""endSource"":""PAUSE_POPUP"",""level"":""level_5"",""team"":""Fya,Bob,Shi Force,Doori,""}}",END_GAME,45e70a6c1de82e89219c491af0ca215d,Wed Jan 08 2020 23:17:20 GMT+0000 (Coordinated Universal Time)
8JONp7FNqp56IuGE0tn8yw,"{""IsNewPlayer"":false}",OPEN_APP,45e70a6c1de82e89219c491af0ca215d,Fri Jan 10 2020 20:40:34 GMT+0000 (Coordinated Universal Time)
kJFvGLWI8T0vldJj0qknEA,"{""IsNewPlayer"":false}",OPEN_APP,E8F0D964-2BF8-4AEE-89C2-8E65A56A8338,Tue Jan 28 2020 05:01:05 GMT+0000 (Coordinated Universal Time)
nD5oWAWQjt_1d7fVMYN1WQ,"{""Attempt"":5,""Level"":""level_1"",""Formation"":""Bob,Marto,Cloud,Fya,""}",START_GAME,8f0b7de452d72257e578560775c77987,Sat Jan 18 2020 02:55:26 GMT+0000 (Coordinated Universal Time)
ug6No6oNfFE_Vc4-TUo5AQ,"{""Attempt"":43,""Level"":""level_3"",""Formation"":""Fya,Doori,Sir Atcha,Bob,"",""Source"":""PAUSE_MENU""}",RETRY_GAME,45e70a6c1de82e89219c491af0ca215d,Tue Jan 21 2020 20:49:23 GMT+0000 (Coordinated Universal Time)
4ai04lHLUVSaJKadff7ftw,"{""IsNewPlayer"":false}",OPEN_APP,672c4c8760797b4edc0693d52938a035,Sat Jan 18 2020 01:27:35 GMT+0000 (Coordinated Universal Time)
ZAKMUG3JQjHzhAeMcMhfDQ,"{""Level"":""level_11"",""Formation"":""Puka,Cloud,Miko,Fya,""}",EDIT_TEAM,5f630b5975b9e3c2925afdfc012d24de,Tue Jan 28 2020 23:06:00 GMT+0000 (Coordinated Universal Time)
GngBjhinY685zPBwVGN5AQ,"{""message"":{""endSource"":""LOSE"",""level"":""level_3"",""team"":""Bob,Marto,Sir Atcha,Fya,""}}",END_GAME,672c4c8760797b4edc0693d52938a035,Thu Jan 16 2020 23:55:29 GMT+0000 (Coordinated Universal Time)
cxu_DLaG9dQPA3NrBalXlA,"{""Attempt"":6,""Level"":""level_12"",""Formation"":""Sir Atcha,Miko,Puka,Doori,"",""Source"":""GAME_OVER""}",RETRY_GAME,0bcdb69da2a4dfe7bb5dbb5678e47f35,Mon Jan 13 2020 16:12:52 GMT+0000 (Coordinated Universal Time)
